time,main_level,main_flow,a_temp,a_status,a_rain,c_temp,c_status,c_rain
2014-01-01 01:00:00,182.0,7.19,2.6,2,0.0,2.8,2,0.0
2014-01-01 02:00:00,182.0,7.19,2.4,2,0.0,2.5,2,0.0
2014-01-01 03:00:00,182.0,7.19,1.9,2,0.0,1.9,2,0.0
2014-01-01 04:00:00,182.0,7.19,2.0,2,0.0,2.1,2,0.0
2014-01-01 05:00:00,182.0,7.19,1.7,2,0.0,2.1,2,0.0
2014-01-01 06:00:00,182.0,7.19,2.5,2,0.0,2.5,2,0.0
2014-01-01 07:00:00,182.0,7.19,3.0,2,0.0,3.4,2,0.0
2014-01-01 08:00:00,182.0,7.19,2.6,3,0.3,2.8,3,0.5
2014-01-01 09:00:00,182.0,7.19,2.7,3,0.5,3.5,3,0.3
2014-01-01 10:00:00,182.0,7.19,3.7,3,0.0,4.2,3,0.0
2014-01-01 11:00:00,182.0,7.19,4.5,3,0.0,5.0,3,0.0
2014-01-01 12:00:00,181.0,7.07,5.3,3,0.0,5.6,3,0.0
2014-01-01 13:00:00,181.0,7.07,6.0,3,0.0,6.1,2,0.0
2014-01-01 14:00:00,181.0,7.07,5.6,3,0.0,5.8,3,0.0
2014-01-01 15:00:00,181.0,7.07,4.8,3,0.0,5.0,3,0.0
2014-01-01 16:00:00,181.0,7.07,3.9,3,0.0,4.6,3,0.0
2014-01-01 17:00:00,179.0,6.85,3.7,3,0.0,3.8,3,0.0
2014-01-01 18:00:00,180.0,6.96,3.5,3,0.0,3.1,3,0.0
2014-01-01 19:00:00,180.0,6.96,3.1,3,0.0,2.7,3,0.0
2014-01-01 20:00:00,180.0,6.96,2.7,3,0.0,2.4,3,0.0
2014-01-01 21:00:00,180.0,6.96,2.4,3,0.0,2.0,3,0.0
2014-01-01 22:00:00,180.0,6.96,2.4,3,0.0,2.4,3,0.0
2014-01-01 23:00:00,179.0,6.85,2.6,3,0.0,2.6,3,0.0
2014-01-02 00:00:00,179.0,6.85,2.5,3,0.0,2.9,3,0.0
2014-01-02 01:00:00,178.0,6.73,3.3,3,0.0,3.4,3,0.0
2014-01-02 02:00:00,177.0,6.62,3.8,3,0.0,4.1,3,0.0
2014-01-02 03:00:00,177.0,6.62,4.1,3,0.0,4.4,3,0.0
2014-01-02 04:00:00,177.0,6.62,5.1,2,0.0,4.6,3,0.0
2014-01-02 05:00:00,177.5,6.73,5.0,3,0.0,4.4,3,0.3
2014-01-02 06:00:00,178.0,6.73,4.9,3,0.6,4.8,3,0.2
2014-01-02 07:00:00,178.0,6.73,5.1,3,0.2,5.0,3,0.2
2014-01-02 08:00:00,178.0,6.73,5.2,3,0.3,5.2,3,0.3
2014-01-02 09:00:00,178.0,6.73,5.5,3,0.1,5.5,3,0.1
2014-01-02 10:00:00,178.0,6.73,5.7,3,0.1,5.9,4,0.1
2014-01-02 11:00:00,179.0,6.85,6.1,3,0.0,6.6,3,0.1
2014-01-02 12:00:00,179.0,6.85,6.4,3,0.2,7.2,3,0.2
2014-01-02 13:00:00,179.0,6.85,6.7,3,0.0,7.8,3,0.0
2014-01-02 14:00:00,179.0,6.85,7.0,3,0.0,7.6,3,0.0
2014-01-02 15:00:00,179.0,6.85,7.2,3,0.0,7.7,3,0.0
2014-01-02 16:00:00,180.0,6.96,7.1,3,0.0,7.4,3,0.0
2014-01-02 17:00:00,180.0,6.96,7.1,3,0.0,7.9,3,0.1
2014-01-02 18:00:00,179.0,6.85,7.4,4,0.2,8.0,3,0.1
2014-01-02 19:00:00,179.0,6.85,7.9,4,0.3,7.9,3,0.6
2014-01-02 20:00:00,180.0,6.96,7.5,3,0.0,7.7,3,0.0
2014-01-02 21:00:00,180.0,6.96,7.4,3,0.0,7.6,2,0.0
2014-01-02 22:00:00,181.0,7.07,7.2,3,0.0,7.0,3,0.0
2014-01-02 23:00:00,181.0,7.07,6.4,3,0.0,6.3,3,0.0
2014-01-03 00:00:00,181.0,7.07,6.5,3,0.0,6.3,3,0.0
2014-01-03 01:00:00,181.0,7.07,5.5,3,0.0,5.6,3,0.0
2014-01-03 02:00:00,181.0,7.07,5.7,3,0.0,5.3,3,0.0
2014-01-03 03:00:00,181.0,7.07,4.9,3,0.0,5.1,3,0.0
2014-01-03 04:00:00,181.0,7.07,4.7,4,0.0,4.1,3,0.0
2014-01-03 05:00:00,181.0,7.07,5.0,3,0.0,3.9,3,0.0
2014-01-03 06:00:00,180.0,6.96,4.2,3,0.0,4.5,3,0.0
2014-01-03 07:00:00,180.0,6.96,4.7,3,0.0,5.1,3,0.0
2014-01-03 08:00:00,180.0,6.96,5.0,3,0.0,5.2,3,0.0
2014-01-03 09:00:00,180.0,6.96,5.4,3,0.0,5.7,3,0.0
2014-01-03 10:00:00,180.0,6.96,5.9,3,0.0,6.6,3,0.0
2014-01-03 11:00:00,179.0,6.85,6.5,3,0.1,6.9,3,0.1
2014-01-03 12:00:00,179.0,6.85,6.1,4,1.0,6.9,3,0.4
2014-01-03 13:00:00,179.0,6.85,6.7,4,0.1,8.0,3,0.0
2014-01-03 14:00:00,179.0,6.85,7.3,4,0.4,8.4,3,0.3
2014-01-03 15:00:00,179.0,6.85,8.4,3,0.0,8.8,3,0.0
2014-01-03 16:00:00,179.0,6.85,8.3,3,0.0,8.9,3,0.0
2014-01-03 17:00:00,179.0,6.85,8.5,3,0.0,8.8,3,0.0
2014-01-03 18:00:00,180.0,6.96,8.3,3,0.0,8.7,3,0.4
2014-01-03 19:00:00,180.0,6.96,8.3,3,0.2,8.5,3,0.2
2014-01-03 20:00:00,180.0,6.96,8.6,3,0.0,8.4,3,0.1
2014-01-03 21:00:00,180.0,6.96,6.6,3,0.9,5.1,3,2.9
2014-01-03 22:00:00,181.0,7.07,5.4,4,0.7,5.8,3,0.2
2014-01-03 23:00:00,181.0,7.07,6.1,3,0.0,6.1,3,0.0
2014-01-04 00:00:00,181.0,7.07,5.9,3,0.0,6.2,2,0.0
2014-01-04 01:00:00,181.0,7.07,5.7,3,0.0,5.9,2,0.0
2014-01-04 02:00:00,182.0,7.19,5.6,3,0.0,6.1,2,0.0
2014-01-04 03:00:00,182.0,7.19,5.3,3,0.0,5.7,2,0.0
2014-01-04 04:00:00,183.0,7.3,5.1,3,0.0,5.9,2,0.0
2014-01-04 05:00:00,184.0,7.41,5.1,3,0.0,6.2,2,0.0
2014-01-04 06:00:00,185.0,7.52,5.3,3,0.0,5.8,2,0.0
2014-01-04 07:00:00,185.0,7.52,5.3,3,0.0,5.3,2,0.0
2014-01-04 08:00:00,186.0,7.63,5.5,2,0.0,5.4,2,0.0
2014-01-04 09:00:00,187.0,7.74,5.7,2,0.0,6.0,2,0.0
2014-01-04 10:00:00,187.0,7.74,6.3,2,0.0,6.7,2,0.0
2014-01-04 11:00:00,187.0,7.74,7.2,2,0.0,7.0,2,0.0
2014-01-04 12:00:00,187.0,7.74,7.2,2,0.0,7.1,2,0.0
2014-01-04 13:00:00,187.0,7.74,7.4,2,0.0,6.9,2,0.0
2014-01-04 14:00:00,187.0,7.74,6.7,2,0.0,6.8,2,0.0
2014-01-04 15:00:00,186.0,7.63,6.4,2,0.0,6.1,2,0.0
2014-01-04 16:00:00,186.0,7.63,6.1,2,0.0,6.0,2,0.0
2014-01-04 17:00:00,186.0,7.63,5.9,2,0.0,5.8,2,0.0
2014-01-04 18:00:00,185.0,7.52,5.2,3,0.0,5.4,2,0.0
2014-01-04 19:00:00,184.0,7.41,5.2,2,0.0,5.1,2,0.0
2014-01-04 20:00:00,184.0,7.41,5.6,2,0.0,5.5,2,0.0
2014-01-04 21:00:00,184.0,7.41,5.6,2,0.0,5.5,2,0.0
2014-01-04 22:00:00,184.0,7.41,5.2,2,0.0,5.3,2,0.0
2014-01-04 23:00:00,184.0,7.41,5.0,2,0.0,5.2,2,0.0
2014-01-05 00:00:00,184.0,7.41,5.1,2,0.0,5.1,2,0.0
2014-01-05 01:00:00,184.0,7.41,5.1,3,0.0,4.9,2,0.0
2014-01-05 02:00:00,184.0,7.41,4.3,3,0.0,4.6,3,0.0
2014-01-05 03:00:00,184.0,7.41,3.0,3,0.0,4.1,3,0.0
2014-01-05 04:00:00,183.0,7.3,2.6,3,0.0,4.1,3,0.0
2014-01-05 05:00:00,183.0,7.3,3.1,3,0.0,3.4,3,0.0
2014-01-05 06:00:00,183.0,7.3,2.8,3,0.0,3.6,3,0.0
