outlook,temperature,humidity,windy,play
overcast,24,high,false,no
rainy,12,normal,false,no
sunny,18,low,true,yes
overcast,13,low,true,no
sunny,23,high,true,yes
rainy,24,normal,false,yes
rainy,19,high,true,no
overcast,17,normal,false,yes
sunny,14,high,false,yes
overcast,21,high,false,no
sunny,17,high,false,no
rainy,18,high,false,yes
rainy,22,normal,false,yes
sunny,12,high,false,yes
overcast,10,low,true,no
sunny,11,high,false,no
overcast,12,low,true,yes
overcast,20,high,false,yes
sunny,16,low,true,no
rainy,15,high,true,yes
rainy,21,normal,false,no
