State,Population,Population per House seat,Density (Pop. / km2),Land area (km2),Gun ownership,High school graduate,Bachelor's degree,Advanced degree,Vote
California,39536653,745974,97,403932.8,0.201,0.798,0.314,0.116,0
Texas,28304596,786238,40,676587.8,0.357,0.879,0.323,0.124,1
Florida,20984400,777200,145,138888.1,0.325,0.869,0.273,0.098,1
New York,19849399,735163,162,122055.8,0.103,0.856,0.342,0.148,0
Pennsylvania,12805537,711419,110,115883.8,0.271,0.892,0.286,0.112,1
Illinois,12802023,711224,89,143793.5,0.262,0.819,0.276,0.094,0
Ohio,11658609,728663,109,105829.5,0.196,0.891,0.261,0.097,1
Georgia,10429379,744956,68,148958,0.316,0.854,0.288,0.107,1
North Carolina,10273419,790263,79,125919.8,0.287,0.858,0.284,0.099,1
Michigan,9962311,711594,67,146435.3,0.288,0.896,0.269,0.105,1
New Jersey,9005644,750470,470,19046.8,0.113,0.886,0.368,0.14,0
Virginia,8470020,770002,81,102278.9,0.293,0.883,0.363,0.154,0
Washington,7405743,740574,41,172120.2,0.277,0.904,0.329,0.12,0
Arizona,7016270,779586,23,294207.1,0.323,0.86,0.275,0.102,1
Massachusetts,6859819,762202,336,20201.9,0.226,0.898,0.405,0.177,0
Tennessee,6715984,746220,61,106798.2,0.394,0.855,0.249,0.09,1
Indiana,6666818,740758,71,92788.9,0.338,0.878,0.241,0.087,1
Missouri,6113532,764192,34,178041,0.271,0.884,0.271,0.102,1
Maryland,6052177,756522,238,25141,0.207,0.894,0.379,0.173,0
Wisconsin,5795483,724435,41,140268.6,0.347,0.91,0.278,0.094,1
Colorado,5607154,801022,20,268431.5,0.343,0.907,0.381,0.14,0
Minnesota,5576606,697076,26,206233,0.367,0.924,0.337,0.112,0
South Carolina,5024369,717767,62,77857.6,0.444,0.856,0.258,0.093,1
Alabama,4874747,696392,37,131169.9,0.489,0.843,0.235,0.087,1
Louisiana,4684333,780722,41,111897.8,0.445,0.834,0.225,0.077,1
Kentucky,4454189,742365,43,102268.3,0.424,0.842,0.223,0.092,1
Oregon,4142776,828555,16,248607.8,0.266,0.898,0.308,0.115,0
Oklahoma,3930864,786173,22,177660.2,0.312,0.869,0.241,0.08,1
Connecticut,3588184,717637,286,12540.7,0.166,0.899,0.376,0.166,0
Iowa,3145711,786428,21,144669,0.338,0.915,0.267,0.085,1
Utah,3101833,775458,14,212819.3,0.319,0.912,0.311,0.104,1
Arkansas,3004279,751070,22,134770,0.579,0.848,0.211,0.075,1
Nevada,2998039,749510,10,284331.5,0.375,0.851,0.23,0.079,0
Mississippi,2984100,746025,24,121530,0.428,0.823,0.207,0.077,1
Kansas,2913123,728281,14,211754.8,0.322,0.902,0.31,0.11,1
New Mexico,2088070,696023,6,314160.4,0.499,0.842,0.263,0.115,0
Nebraska,1920076,640025,9,198973.2,0.198,0.907,0.293,0.097,1
West Virginia,1815857,605285,29,62258.1,0.542,0.85,0.192,0.074,1
Idaho,1716943,858472,7,214044.4,0.569,0.895,0.259,0.082,1
Hawaii,1427538,713769,86,16635.5,0.451,0.91,0.308,0.105,0
New Hampshire,1342795,671398,57,23188.2,0.144,0.92,0.349,0.13,0
Maine,1335907,667954,16,79883,0.226,0.916,0.29,0.103,0
Rhode Island,1059639,529820,394,2678,0.058,0.862,0.319,0.128,0
Montana,1050493,1050493,2,376962.4,0.523,0.928,0.295,0.095,1
Delaware,961939,961939,187,5047.9,0.052,0.884,0.3,0.122,0
South Dakota,869666,869666,4,196349.6,0.35,0.909,0.27,0.08,1
North Dakota,755393,755393,4,178711.8,0.479,0.917,0.277,0.076,1
Alaska,739795,739795,0,1477953.4,0.617,0.921,0.28,0.101,1
District of Columbia,693972,0,4251,158.1,0.259,0.893,0.546,0.313,0
Vermont,623657,623657,26,23871.9,0.288,0.918,0.36,0.143,0
Wyoming,579315,579315,2,251469.7,0.538,0.923,0.257,0.086,1
